HGNCID	Status	ApprovedSymbol	ApprovedName	PreviousSymbols	AliasSymbol	EnsemblGeneID	UCSCGeneID	RefSeqAccession	UniProtAccession
HGNC:44929	Approved	HSPA8P14	heat shock protein family A (Hsp70) member 8 pseudogene 14			ENSG00000257539		NG_02877	
HGNC:44930	Approved	HSPA8P15	heat shock protein family A (Hsp70) member 8 pseudogene 15			ENSG00000219395		NG_025882	
HGNC:44931	Approved	HSPA8P16	heat shock protein family A (Hsp70) member 8 pseudogene 16			ENSG00000224059		NG_022569	
HGNC:44932	Approved	HSPA8P17	heat shock protein family A (Hsp70) member 8 pseudogene 17			ENSG00000228557		NG_028723	
HGNC:44933	Approved	HSPA8P18	heat shock protein family A (Hsp70) member 8 pseudogene 18			ENSG00000232953		NG_032789	
HGNC:44935	Approved	HSPA8P19	heat shock protein family A (Hsp70) member pseudogene 19			ENSG00000251614		NG_025743	
HGNC:44936	Approved	HSPA8P20	heat shock protein family A (Hsp70) member 8 pseudogene 20			ENSG00000234564		NG_023274	
HGNC:5244	Approved	HSPA9	heat shock protein family A (Hsp70) member 9	HSPA9B	GRP75|PBP74|mot-2|mthsp75	ENSG00000113013	uc003ldf.4	NM_004134	P38646
HGNC:5243	Entry Withdrawn	HSPA9A	entry withdrawn						
HGNC:24915	Approved	HSPA9P1	heat shock protein family A (Hsp70) member 9 pseudogene 1	HSPA9BP|HSPA9P		ENSG00000226666		NG_002380	
HGNC:31733	Approved	HSPA9P2	heat shock protein family A (Hsp70) member 9 pseudogene 2					NG_032192	
HGNC:19022	Approved	HSPA12A	heat shock protein family A (Hsp70) member 12A		FLJ13874|KIAA0417	ENSG00000165868	uc001lct.3	NM_025015	O43301
HGNC:16193	Approved	HSPA12B	heat shock protein family A (Hsp70) member 12B	C20orf60	dJ1009E24.2	ENSG00000132622	uc002wjd.4	NM_052970	Q96MM6
HGNC:11375	Approved	HSPA13	heat shock protein family A (Hsp70) member 13	STCH		ENSG00000155304	uc002yjt.4	NM_006948	P48723
HGNC:29526	Approved	HSPA14	heat shock protein family A (Hsp70) member 14		HSP70-4|HSP70L1	ENSG00000187522	uc001inf.5	NM_016299	Q0VDF9
HGNC:5246	Approved	HSPB1	heat shock protein family B (small) member 1		HSP27|HSP28|Hs.76067|Hsp25|CMT2F	ENSG00000106211	uc003uew.4	NM_001540	P04792
HGNC:5251	Approved	HSPB1P1	heat shock protein family B (small) member 1 pseudogene 1	HSPBL2		ENSG00000236060		NG_013115	
HGNC:5252	Approved	HSPB1P2	heat shock protein family B (small) member 1 pseudogene 2	HSPBL3		ENSG00000230216		NG_008236	
HGNC:5247	Approved	HSPB2	heat shock protein family B (small) member 2		Hs.78846|MKBP	ENSG00000170276	uc001pmg.3	NM_001541	Q16082
HGNC:41996	Approved	HSPB2-C11orf52	HSPB2-C11orf52 readthrough (NMD candidate)			ENSG00000254445	uc058hgl.1	NR_037651.1	
HGNC:5248	Approved	HSPB3	heat shock protein family B (small) member 3		HSPL27	ENSG00000169271	uc003jph.2	NM_006308	Q12988
HGNC:26511	Approved	HSPB6	heat shock protein family B (small) member 6		FLJ32389|Hsp20|PPP1R91	ENSG00000004776	uc060xio.1	NM_144617	O14558
HGNC:5249	Approved	HSPB7	heat shock protein family B (small) member 7		cvHSP	ENSG00000173641	uc001axo.2	NM_014424	Q9UBY9
HGNC:30171	Approved	HSPB8	heat shock protein family B (small) member 8		H11|E2IG1|HSP22|HspB8|CMT2L	ENSG00000152137	uc001txb.4	NM_014365	Q9UJY1
HGNC:30589	Approved	HSPB9	heat shock protein family B (small) member 9		CT51	ENSG00000260325	uc002hyy.3	NM_033194	Q9BQS6
HGNC:25019	Approved	HSPB11	heat shock protein family B (small) member 11	C1orf41	HSPCO34|PP25|IFT25	ENSG00000081870	uc001cwh.4	NM_016126	Q9Y547
HGNC:16389	Approved	HSPBAP1	HSPB1 associated protein 1		FLJ22623|PASS1	ENSG00000169087	uc003efu.3	NM_024610	Q96EW2
HGNC:5250	Entry Withdrawn	HSPBL1	entry withdrawn						
HGNC:24989	Approved	HSPBP1	HSPA (Hsp70) binding protein 1		HspBP1|FES1	ENSG00000133265	uc002qkd.4	NM_012267	Q9NZL4
HGNC:5261	Approved	HSPD1	heat shock protein family D (Hsp60) member 1	SPG13	GroEL|HSP60	ENSG00000144381	uc002uuk.4	NM_002156	P10809
HGNC:35133	Approved	HSPD1P1	heat shock protein family D (Hsp60) member 1 pseudogene 1		HSPD1-2P	ENSG00000213430		NG_008757	
HGNC:5263	Approved	HSPD1P2	heat shock protein family D (Hsp60) member 1 pseudogene 2	HSPDP2	HSP60P2|HSPD-9P	ENSG00000254543		NG_001146	
HGNC:5264	Approved	HSPD1P3	heat shock protein family D (Hsp60) member 1 pseudogene 3	HSPDP3|HSPDP1|HSPDP4	HSP60P3|HSP60P1|HSP60P4|HSPD1-7P	ENSG00000255128		NG_001145	
HGNC:35146	Approved	HSPD1P4	heat shock protein family D (Hsp60) member 1 pseudogene 4		HSPD1-5P	ENSG00000257576		NG_008756	
HGNC:5266	Approved	HSPD1P5	heat shock protein family D (Hsp60) member 1 pseudogene 5	HSPDP5	HSPD1-8P	ENSG00000249193		XR_017561	
HGNC:5267	Approved	HSPD1P6	heat shock protein family D (Hsp60) member 1 pseudogene 6	HSPDP6	HSPD1-6P	ENSG00000230067		XR_017400	
HGNC:5268	Approved	HSPD1P7	heat shock protein family D (Hsp60) member 1 pseudogene 7	HSPDP7	HSPD1-22P	ENSG00000215005		NG_000920	
HGNC:35145	Approved	HSPD1P8	heat shock protein family D (Hsp60) member 1 pseudogene 8		HSPD1-12P	ENSG00000215357		NG_011337	
HGNC:35132	Approved	HSPD1P9	heat shock protein family D (Hsp60) member 1 pseudogene 9		HSPD1-14P	ENSG00000228036		NG_016588	
HGNC:35131	Approved	HSPD1P10	heat shock protein family D (Hsp60) member 1 pseudogene 10		HSPD1-4P	ENSG00000216990		NG_021117	
HGNC:35142	Approved	HSPD1P11	heat shock protein family D (Hsp60) member 1 pseudogene 11			ENSG00000251348		NG_016480	
HGNC:35140	Approved	HSPD1P12	heat shock protein family D (Hsp60) member 1 pseudogene 12		HSPD1-10P	ENSG00000255964		NG_003217	
HGNC:35138	Approved	HSPD1P13	heat shock protein family D (Hsp60) member 1 pseudogene 13		HSPD1-16P			NG_023061	
HGNC:35143	Approved	HSPD1P14	heat shock protein family D (Hsp60) member 1 pseudogene 14		HSPD1-17P	ENSG00000227000		NG_022774	
HGNC:35130	Approved	HSPD1P15	heat shock protein family D (Hsp60) member 1 pseudogene 15		HSPD1-15P	ENSG00000249557		NG_016584	
HGNC:35128	Approved	HSPD1P16	heat shock protein family D (Hsp60) member 1 pseudogene 16		HSPD1-13P	ENSG00000218792		NG_023060	
HGNC:35147	Approved	HSPD1P17	heat shock protein family D (Hsp60) member 1 pseudogene 17		HSPD1-19P			NG_023064	
HGNC:35136	Approved	HSPD1P18	heat shock protein family D (Hsp60) member 1 pseudogene 18			ENSG00000248351		NG_016481	
HGNC:38590	Approved	HSPD1P19	heat shock protein family D (Hsp60) member 1 pseudogene 19		HSPD1-18P			NG_023062	
HGNC:38591	Approved	HSPD1P20	heat shock protein family D (Hsp60) member 1 pseudogene 20		HSPD1-20P			NG_023065	
HGNC:38592	Approved	HSPD1P21	heat shock protein family D (Hsp60) member 1 pseudogene 21		HSPD1-3P	ENSG00000229900		NG_023059	
HGNC:39502	Approved	HSPD1P22	heat shock protein family D (Hsp60) member 1 pseudogene 22		HSPD1-21P			NG_023066	
HGNC:5269	Approved	HSPE1	heat shock protein family E (Hsp10) member 1		CPN10|GroES|HSP10|EPF	ENSG00000115541	uc002uul.4	NM_002157	P61604
HGNC:49184	Approved	HSPE1-MOB4	HSPE1-MOB4 readthrough			ENSG00000270757		NM_001202485	
HGNC:16530	Approved	HSPE1P1	heat shock protein family E (Hsp10) member 1 pseudogene 1	HSPEP1	bA101E14.1	ENSG00000234878		NG_001006	
HGNC:20052	Approved	HSPE1P2	heat shock protein family E (Hsp10) member 1 pseudogene 2	HSPEP2		ENSG00000258645		NG_002552	
HGNC:49322	Approved	HSPE1P3	heat shock protein family E (Hsp10) member 1 pseudogene 3			ENSG00000259746		NG_030236	
HGNC:49323	Approved	HSPE1P4	heat shock protein family E (Hsp10) member 1 pseudogene 4			ENSG00000258153		NG_030128	
HGNC:49324	Approved	HSPE1P5	heat shock protein family E (Hsp10) member 1 pseudogene 5			ENSG00000261395		NG_009096	
HGNC:49325	Approved	HSPE1P6	heat shock protein family E (Hsp10) member 1 pseudogene 6			ENSG00000232917		NG_043911	
HGNC:49327	Approved	HSPE1P7	heat shock protein family E (Hsp10) member 1 pseudogene 7			ENSG00000270945		NG_029256	
HGNC:49326	Approved	HSPE1P8	heat shock protein family E (Hsp10) member 1 pseudogene 8			ENSG00000217897		NG_029204	
HGNC:49328	Approved	HSPE1P9	heat shock protein family E (Hsp10) member 1 pseudogene 9			ENSG00000232690		NG_045108	
HGNC:49329	Approved	HSPE1P10	heat shock protein family E (Hsp10) member 1 pseudogene 10			ENSG00000249768		NG_030295	
HGNC:49330	Approved	HSPE1P11	heat shock protein family E (Hsp10) member 1 pseudogene 11			ENSG00000187762		NG_045268	
HGNC:49331	Approved	HSPE1P12	heat shock protein family E (Hsp10) member 1 pseudogene 12			ENSG00000235930		NG_030131	
HGNC:49332	Approved	HSPE1P13	heat shock protein family E (Hsp10) member 1 pseudogene 13			ENSG00000225900		NG_007530	
HGNC:49333	Approved	HSPE1P14	heat shock protein family E (Hsp10) member 1 pseudogene 14			ENSG00000271612		NG_042986	
HGNC:49335	Approved	HSPE1P15	heat shock protein family E (Hsp10) member 1 pseudogene 15						
HGNC:49334	Approved	HSPE1P16	heat shock protein family E (Hsp10) member 1 pseudogene 16		EPF8	ENSG00000237140		NG_001326	
HGNC:49336	Approved	HSPE1P17	heat shock protein family E (Hsp10) member 1 pseudogene 17						
HGNC:49337	Approved	HSPE1P18	heat shock protein family E (Hsp10) member 1 pseudogene 18			ENSG00000255163		NG_045639	
HGNC:49338	Approved	HSPE1P19	heat shock protein family E (Hsp10) member 1 pseudogene 19			ENSG00000271024		NG_042994	
HGNC:49339	Approved	HSPE1P20	heat shock protein family E (Hsp10) member 1 pseudogene 20			ENSG00000257021		NG_030135	
HGNC:49340	Approved	HSPE1P21	heat shock protein family E (Hsp10) member 1 pseudogene 21			ENSG00000238059		NG_011596	
HGNC:49341	Approved	HSPE1P22	heat shock protein family E (Hsp10) member 1 pseudogene 22			ENSG00000237306		NG_030092	
HGNC:49342	Approved	HSPE1P23	heat shock protein family E (Hsp10) member 1 pseudogene 23			ENSG00000250356		NG_043003	
HGNC:49343	Approved	HSPE1P24	heat shock protein family E (Hsp10) member 1 pseudogene 24			ENSG00000225158		NG_043941	
HGNC:49344	Approved	HSPE1P25	heat shock protein family E (Hsp10) member 1 pseudogene 25			ENSG00000232015		NG_045649	
HGNC:49345	Approved	HSPE1P26	heat shock protein family E (Hsp10) member 1 pseudogene 26			ENSG00000220867		NG_045283	
HGNC:49346	Approved	HSPE1P27	heat shock protein family E (Hsp10) member 1 pseudogene 27			ENSG00000235112		NG_043956	
HGNC:49347	Approved	HSPE1P28	heat shock protein family E (Hsp10) member 1 pseudogene 28			ENSG00000230081		NG_001325	
HGNC:5273	Approved	HSPG2	heparan sulfate proteoglycan 2	SJS1	perlecan|PRCAN	ENSG00000142798	uc001bfj.4	NM_005529	P98160
HGNC:16969	Approved	HSPH1	heat shock protein family H (Hsp110) member 1		HSP105B|KIAA0201|HSP105A|NY-CO-25	ENSG00000120694	uc001utj.5	NM_001286503	Q92598
HGNC:34233	Entry Withdrawn	HSR1	entry withdrawn						
HGNC:16637	Approved	HTATIP2	HIV-1 Tat interactive protein 2		TIP30|CC3|FLJ26963|SDR44U1	ENSG00000109854	uc001mpz.3	NM_001098521	Q9BUP3
HGNC:5276	Approved	HTATSF1	HIV-1 Tat specific factor 1		TAT-SF1	ENSG00000102241	uc004ezw.4	NM_014500	O43719
HGNC:13959	Approved	HTATSF1P1	HIV-1 Tat specific factor 1 pseudogene 1	HTATSF1P	TAT-SF1-L|dJ1033B10.6	ENSG00000223457			
HGNC:38586	Approved	HTATSF1P2	HIV-1 Tat specific factor 1 pseudogene 2			ENSG00000271361		NG_030001	
HGNC:5277	Approved	HTC1	"hypertrichosis 1 (universalis, congenital)"						
HGNC:5278	Approved	HTC2	"hypertrichosis 2 (generalized, congenital)"		CGH|HCG				
HGNC:53111	Approved	HTD2	hydroxyacyl-thioester dehydratase type 2			ENSG00000255154		NM_001348712	
HGNC:5280	Approved	HTL	high L-leucine transport		LEUT				
HGNC:5283	Approved	HTN1	histatin 1		HIS1	ENSG00000126550	uc003hex.4	NM_002159	P15515
HGNC:5284	Approved	HTN3	histatin 3		HIS2	ENSG00000205649	uc003hew.2	NM_000200	P15516
HGNC:5285	Approved	HTOR	5-hydroxytryptamine (serotonin) oxygenase regulator						
HGNC:5286	Approved	HTR1A	5-hydroxytryptamine receptor 1A	ADRB2RL1|ADRBRL1	5-HT1A	ENSG00000178394	uc011cqt.4	NM_000524	P08908
HGNC:5287	Approved	HTR1B	5-hydroxytryptamine receptor 1B		S12|5-HT1B|HTR1D2|5-HT1DB	ENSG00000135312	uc003pil.2	NM_000863	P28222
HGNC:5289	Approved	HTR1D	5-hydroxytryptamine receptor 1D	HTRL	RDC4|HT1DA|5-HT1D	ENSG00000179546	uc001bgn.3	NM_000864	P28221
HGNC:5290	Approved	HTR1DP1	5-hydroxytryptamine receptor 1D pseudogene 1			ENSG00000275811		NG_023961	
HGNC:5291	Approved	HTR1E	5-hydroxytryptamine receptor 1E		5-HT1E	ENSG00000168830	uc003pli.4	NM_000865	P28566
HGNC:5292	Approved	HTR1F	5-hydroxytryptamine receptor 1F		HTR1EL|5-HT1F	ENSG00000179097	uc062lsi.1	NM_000866	P30939
HGNC:5293	Approved	HTR2A	5-hydroxytryptamine receptor 2A	HTR2	5-HT2A	ENSG00000102468	uc010acr.5	NM_000621	P28223
HGNC:40289	Approved	HTR2A-AS1	HTR2A antisense RNA 1			ENSG00000224517	uc032aen.2	NR_046612	
HGNC:5294	Approved	HTR2B	5-hydroxytryptamine receptor 2B		5-HT(2B)|5-HT2B	ENSG00000135914	uc002vro.4	NM_000867	P41595
HGNC:5295	Approved	HTR2C	5-hydroxytryptamine receptor 2C	HTR1C	5-HT2C|5HTR2C	ENSG00000147246	uc004epu.1	NM_000868	P28335
HGNC:41344	Entry Withdrawn	HTR2C-IT1	entry withdrawn						
HGNC:5297	Approved	HTR3A	5-hydroxytryptamine receptor 3A	HTR3	5-HT3R|5-HT3A	ENSG00000166736	uc010rxc.3	NM_000869	P46098
HGNC:5298	Approved	HTR3B	5-hydroxytryptamine receptor 3B		5-HT3B	ENSG00000149305	uc001pok.4	NM_006028	O95264
HGNC:24003	Approved	HTR3C	5-hydroxytryptamine receptor 3C			ENSG00000178084	uc003fmk.4	NM_130770	Q8WXA8
HGNC:24004	Approved	HTR3D	5-hydroxytryptamine receptor 3D			ENSG00000186090	uc003fmj.3	NM_182537	Q70Z44
HGNC:24005	Approved	HTR3E	5-hydroxytryptamine receptor 3E			ENSG00000186038	uc003fmm.3	NM_182589	A5X5Y0
HGNC:41032	Approved	HTR3E-AS1	HTR3E antisense RNA 1			ENSG00000238020	uc062qqn.1	NR_133658	
HGNC:5299	Approved	HTR4	5-hydroxytryptamine receptor 4		5-HT4	ENSG00000164270	uc003lpn.5	NM_000870	Q13639
HGNC:41345	Entry Withdrawn	HTR4-IT1	entry withdrawn						
HGNC:5300	Approved	HTR5A	5-hydroxytryptamine receptor 5A		5-HT5A	ENSG00000157219	uc003wlu.3	NM_024012	P47898
HGNC:48956	Approved	HTR5A-AS1	HTR5A antisense RNA 1	HTR5AOS		ENSG00000220575		NR_038945	
HGNC:16291	Approved	HTR5BP	"5-hydroxytryptamine receptor 5B, pseudogene"	GPR134|HTR5B	5-HT5B	ENSG00000125631		NG_008325	
HGNC:5301	Approved	HTR6	5-hydroxytryptamine receptor 6		5-HT6|5-HT6R	ENSG00000158748	uc001bcl.5	NM_000871	P50406
HGNC:5302	Approved	HTR7	5-hydroxytryptamine receptor 7		5-HT7	ENSG00000148680	uc001kgz.4	NM_000872	P34969
HGNC:30411	Approved	HTR7P1	5-hydroxytryptamine receptor 7 pseudogene 1	HTR7P		ENSG00000183935		NR_002774	
HGNC:9476	Approved	HTRA1	HtrA serine peptidase 1	PRSS11	HtrA|IGFBP5-protease|ARMD7	ENSG00000166033	uc001lgj.2	NM_002775	Q92743
HGNC:14348	Approved	HTRA2	HtrA serine peptidase 2	PRSS25	OMI|PARK13	ENSG00000115317	uc002smi.2	NM_013247	O43464
HGNC:30406	Approved	HTRA3	HtrA serine peptidase 3		Tasp|Prsp	ENSG00000170801	uc003gla.4	NM_053044	P83110
HGNC:26909	Approved	HTRA4	HtrA serine peptidase 4		FLJ90724	ENSG00000169495	uc003xmj.4	NM_153692	P83105
HGNC:4851	Approved	HTT	huntingtin	HD	IT15	ENSG00000197386	uc062uto.1	NM_002111	P42858
HGNC:37118	Approved	HTT-AS	HTT antisense RNA (head to head)	HTT-AS1	HTTAS	ENSG00000251075		NR_045414	
HGNC:34232	Approved	HULC	hepatocellular carcinoma up-regulated long non-coding RNA		NCRNA00078|LINC00078|HCCAT1	ENSG00000251164	uc032wkv.2	NR_004855	
HGNC:13326	Approved	HUNK	hormonally up-regulated Neu-associated kinase			ENSG00000142149	uc002yph.3	NM_014586	P57058
HGNC:40631	Approved	HUNK-AS1	HUNK antisense RNA 1		TCONS_00028914	ENSG00000237138			
HGNC:5309	Approved	HUS1	HUS1 checkpoint clamp component			ENSG00000136273	uc003tod.3	NM_004507	O60921
HGNC:16485	Approved	HUS1B	HUS1 checkpoint clamp component B			ENSG00000188996	uc003mtg.4	NM_148959	Q8NHY5
HGNC:30892	Approved	HUWE1	"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase"		Ib772|KIAA0312|UREB1	ENSG00000086758	uc033eew.2	XM_497119	Q7Z6Z7
HGNC:5310	Entry Withdrawn	HV1S	entry withdrawn						
HGNC:5311	Entry Withdrawn	HVBS1	entry withdrawn						
HGNC:5312	Entry Withdrawn	HVBS4	entry withdrawn						
HGNC:5313	Entry Withdrawn	HVBS6	entry withdrawn						
HGNC:5314	Approved	HVBS7	hepatitis B virus integration site 7						
HGNC:5315	Approved	HVBS8	hepatitis B virus integration site 8						
HGNC:28240	Approved	HVCN1	hydrogen voltage gated channel 1		MGC15619|Hv1|VSOP	ENSG00000122986	uc001trs.3	NM_032369	Q96D96
HGNC:5320	Approved	HYAL1	hyaluronoglucosaminidase 1		LUCA1|HYAL-1|FUS2|NAT6	ENSG00000114378	uc003czs.4	NM_033159	Q12794
HGNC:5321	Approved	HYAL2	hyaluronoglucosaminidase 2		LuCa-2|LUCA2	ENSG00000068001	uc003czv.4	NM_003773	Q12891
HGNC:5322	Approved	HYAL3	hyaluronoglucosaminidase 3		LUCA-3|LUCA14|Minna14	ENSG00000186792	uc003czd.3	NM_003549	O43820
HGNC:5323	Approved	HYAL4	hyaluronoglucosaminidase 4			ENSG00000106302	uc003vlc.4	NM_012269	Q2M3T9
HGNC:5324	Approved	HYALP1	hyaluronoglucosaminidase pseudogene 1		HYAL6	ENSG00000228211		NR_002731	
HGNC:13822	Approved	HYD2	hypodontia 2 (autosomal recessive)						
HGNC:19368	Approved	HYDIN	"HYDIN, axonemal central pair apparatus protein"		DKFZp434D0513|KIAA1864|PPP1R31|CILD5	ENSG00000157423	uc021tkq.3	NM_001198542	Q4G0P3
HGNC:33129	Approved	HYDIN2	"HYDIN2, axonemal central pair apparatus protein (pseudogene)"	HYDINP1		ENSG00000276975		XR_133104	
HGNC:26948	Approved	HYI	hydroxypyruvate isomerase (putative)		HT036	ENSG00000178922	uc001cjo.3	NM_031207	Q5T013
HGNC:41173	Approved	HYI-AS1	HYI antisense RNA 1			ENSG00000229348	uc057foc.1		
HGNC:34403	Approved	HYKK	hydroxylysine kinase	AGPHD1	LOC123688	ENSG00000188266		NM_001013619	A2RU49
HGNC:26558	Approved	HYLS1	"HYLS1, centriolar and ciliogenesis associated"		FLJ32915	ENSG00000198331	uc009zbv.4	NM_145014	Q96M11
HGNC:5326	Approved	HYMAI	hydatidiform mole associated and imprinted (non-protein coding)		NCRNA00020	ENSG00000283122	uc063sag.1	NR_002768	
HGNC:16931	Approved	HYOU1	hypoxia up-regulated 1		ORP150|HSP12A|Grp170	ENSG00000149428	uc031yhc.2	NM_006389	Q9Y4L1
HGNC:18418	Approved	HYPK	huntingtin interacting protein K	C15orf63	HSPC136|FLJ20431	ENSG00000242028	uc059inn.1	NM_016400	Q9NX55
HGNC:18417	Approved	HYPM	huntingtin interacting protein M	CXorf27	HIP17	ENSG00000187516		NM_012274	O75409
HGNC:27696	Approved	IAH1	isoamyl acetate-hydrolyzing esterase 1 homolog			ENSG00000134330	uc002qzr.4	NM_001039613	Q2TAA2
HGNC:5329	Approved	IAPP	islet amyloid polypeptide		AMYLIN|DAP|IAP	ENSG00000121351	uc058lui.1	NM_000415	P10997
HGNC:5330	Approved	IARS	isoleucyl-tRNA synthetase		ILRS|IARS1	ENSG00000196305	uc004art.4	NM_002161	P41252
HGNC:29685	Approved	IARS2	"isoleucyl-tRNA synthetase 2, mitochondrial"		FLJ10326	ENSG00000067704	uc001hmc.4	NM_018060	Q9NSE4
HGNC:50474	Approved	IARS2P1	"isoleucyl-tRNA synthetase 2, mitochondrial pseudogene 1"			ENSG00000251563		NG_028883	
HGNC:27302	Approved	IBA57	"IBA57 homolog, iron-sulfur cluster assembly"	C1orf69	FLJ12734	ENSG00000181873	uc001hsl.5	NM_001010867	Q5T440
HGNC:32062	Approved	IBA57-AS1	IBA57 antisense RNA 1 (head to head)	C1orf148	FLJ32878	ENSG00000203684		NR_103539	B1ANH7
HGNC:5332	Approved	IBD2	inflammatory bowel disease 2						
HGNC:13863	Approved	IBD3	inflammatory bowel disease 3						
HGNC:5333	Approved	IBD4	inflammatory bowel disease 4						
HGNC:5334	Approved	IBD5	inflammatory bowel disease 5						
HGNC:5335	Approved	IBD6	inflammatory bowel disease 6						
HGNC:14242	Approved	IBD7	inflammatory bowel disease 7						
HGNC:20235	Approved	IBD8	inflammatory bowel disease 8						
HGNC:20236	Approved	IBD9	inflammatory bowel disease 9						
HGNC:5336	Approved	IBGC1	idiopathic basal ganglia calcification 1						
HGNC:5341	Approved	IBSP	integrin binding sialoprotein		BSP|SP-II|BSP-II	ENSG00000029559	uc003hqx.5	NM_004967	P21815
HGNC:17853	Approved	IBTK	inhibitor of Bruton tyrosine kinase	BTKI	DKFZP564B116|BTBD26	ENSG00000005700	uc003pjl.2	NM_015525	Q9P2D0
HGNC:31672	Approved	IBTKP1	inhibitor of Bruton tyrosine kinase pseudogene 1					NG_022990	
HGNC:5342	Entry Withdrawn	IC1	entry withdrawn						
HGNC:5343	Approved	ICA1	islet cell autoantigen 1		ICAp69|ICA69	ENSG00000003147	uc003srq.5	NM_004968	Q05084
HGNC:14442	Approved	ICA1L	islet cell autoantigen 1 like	ALS2CR15|ALS2CR14		ENSG00000163596	uc032oqc.1	NM_138468	Q8NDH6
HGNC:5344	Approved	ICAM1	intercellular adhesion molecule 1		BB2|CD54	ENSG00000090339	uc002mnq.3	NM_000201	P05362
HGNC:5345	Approved	ICAM2	intercellular adhesion molecule 2		CD102	ENSG00000108622	uc002jdv.5	NM_000873	P13598
HGNC:5346	Approved	ICAM3	intercellular adhesion molecule 3		CDW50|ICAM-R|CD50	ENSG00000076662	uc002mob.3	NM_001320605	P32942
HGNC:5347	Approved	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	LW	CD242	ENSG00000105371	uc002mns.3	NM_001544	Q14773
HGNC:5348	Approved	ICAM5	intercellular adhesion molecule 5	TLCN	TLN	ENSG00000105376	uc002mnu.5	NM_003259	Q9UMF0
HGNC:29154	Approved	ICE1	interactor of little elongation complex ELL subunit 1	KIAA0947		ENSG00000164151		NM_015325.1	Q9Y2F5
HGNC:29885	Approved	ICE2	interactor of little elongation complex ELL subunit 2	NARG2	FLJ11896|BRCC1	ENSG00000128915		NM_024611	Q659A1
HGNC:48856	Approved	ICE2P1	interactor of little elongation complex ELL subunit 2 pseudogene 1	NARG2P1		ENSG00000248880		NG_022044	
HGNC:48857	Approved	ICE2P2	interactor of little elongation complex ELL subunit 2 pseudogene 2	NARG2P2		ENSG00000242705		NG_022254	
HGNC:21219	Approved	ICK	intestinal cell kinase		MRK|LCK2|KIAA0936|MGC46090	ENSG00000112144	uc003pbh.3	NM_016513	Q9UPZ9
HGNC:5350	Approved	ICMT	isoprenylcysteine carboxyl methyltransferase		PCCMT|HSTE14|PPMT	ENSG00000116237	uc001amk.4	NM_012405	O60725
HGNC:5351	Approved	ICOS	inducible T-cell costimulator		AILIM|CD278	ENSG00000163600	uc002vam.4	NM_012092	Q9Y6W8
HGNC:17087	Approved	ICOSLG	inducible T-cell costimulator ligand	ICOSL	KIAA0653|GL50|B7-H2|B7RP-1|B7H2|B7RP1|ICOS-L|CD275	ENSG00000160223	uc002zee.5	NM_015259	O75144
HGNC:5352	Approved	ICR1	"ichthyosis congenita I, erythromatous lamellar ichthyosis, ichthyosiform erythroderma"						
HGNC:5354	Approved	ICR3	"ichthyosis congenita III, vulgaris-like recessive ichthyosis"						
HGNC:5355	Approved	ICR4	"ichthyosis congenita IV, ichthyosis-prematurity syndrome"						
HGNC:5356	Approved	ICR5	"ichthyosis congenita V, Sjogren-Larsson-like"						
HGNC:5357	Approved	ICS1	immotile cilia syndrome 1						
HGNC:5360	Approved	ID1	"inhibitor of DNA binding 1, HLH protein"		dJ857M17.1.2|bHLHb24	ENSG00000125968	uc002wwg.3	NM_002165	P41134
HGNC:5361	Approved	ID2	"inhibitor of DNA binding 2, HLH protein"		GIG8|bHLHb26	ENSG00000115738	uc002qza.4	NM_002166	Q02363
HGNC:51103	Approved	ID2-AS1	ID2 antisense RNA 1 (head to head)			ENSG00000235092		NR_110153	
HGNC:30656	Approved	ID2B	"inhibitor of DNA binding 2B, HLH protein (pseudogene)"					NG_000937	Q14602
HGNC:5362	Approved	ID3	"inhibitor of DNA binding 3, HLH protein"		HEIR-1|bHLHb25	ENSG00000117318	uc001bhh.5	NM_002167	Q02535
HGNC:5363	Approved	ID4	"inhibitor of DNA binding 4, HLH protein"		bHLHb27	ENSG00000172201	uc003ncw.5	NM_001546	P47928
HGNC:5374	Approved	IDDM3	insulin dependent diabetes mellitus 3						
HGNC:5375	Approved	IDDM4	insulin dependent diabetes mellitus 4						
HGNC:5377	Approved	IDDM6	insulin dependent diabetes mellitus 6						
HGNC:5378	Approved	IDDM7	insulin dependent diabetes mellitus 7						
HGNC:5379	Approved	IDDM8	insulin dependent diabetes mellitus 8						
HGNC:5380	Approved	IDDM9	insulin dependent diabetes mellitus 9						
HGNC:5365	Approved	IDDM11	insulin dependent diabetes mellitus 11						
HGNC:5367	Approved	IDDM13	insulin dependent diabetes mellitus 13						
HGNC:5368	Approved	IDDM14	insulin dependent diabetes mellitus 14						
HGNC:5369	Approved	IDDM15	insulin dependent diabetes mellitus 15						
HGNC:5370	Approved	IDDM16	insulin dependent diabetes mellitus 16						
HGNC:5371	Approved	IDDM17	insulin dependent diabetes mellitus 17						
HGNC:5372	Approved	IDDM18	insulin dependent diabetes mellitus 18						
HGNC:5381	Approved	IDE	insulin degrading enzyme			ENSG00000119912	uc001kia.4	NM_004969	P14735
HGNC:5382	Approved	IDH1	"isocitrate dehydrogenase (NADP(+)) 1, cytosolic"			ENSG00000138413	uc002vcu.5	NM_005896	O75874
